ID,Ground Truth,Predicted Value
24633,1,1
15892,2,1
75689,1,1
82079,2,1
17016,1,1
55946,1,1
42175,1,1
57901,2,2
74581,1,1
17544,1,1
30448,1,1
51019,1,1
29040,1,1
55536,1,2
22827,2,1
44839,1,1
13782,1,1
59853,1,1
9180,2,1
61503,1,1
29075,1,1
82928,1,1
21827,1,1
38020,1,1
80731,1,1
81893,1,1
34376,0,0
37623,2,1
32110,1,1
48395,1,1
23296,1,1
48384,1,1
18229,1,1
69780,1,1
78330,1,1
39870,1,1
21100,1,1
28087,1,1
69087,2,1
9757,0,0
30494,2,1
6665,1,1
52341,1,1
58935,1,1
80944,0,0
65631,1,1
7877,1,1
49917,2,1
14718,1,1
83865,1,1
76208,2,1
40420,1,1
5204,1,1
36831,1,1
47177,2,2
4321,1,1
24161,1,1
61130,1,1
28594,0,2
50213,2,2
65834,0,1
81732,1,1
46123,1,1
66694,0,1
59136,2,1
80200,2,1
83082,1,1
67479,0,0
78397,0,0
12782,2,1
9465,1,1
39740,1,1
36284,1,1
30705,0,1
27269,1,1
43072,1,1
72467,1,1
48660,1,1
37772,0,0
20853,1,1
75207,0,0
59225,2,1
51846,1,0
57548,0,0
83672,1,1
4887,1,1
16430,1,1
5928,1,1
73639,1,1
61426,1,1
6976,2,1
79566,1,1
49276,0,1
4328,1,1
60906,1,1
72909,2,1
23142,1,1
14199,1,1
7574,1,1
13042,1,1
79585,0,2
50786,1,1
28752,1,1
52891,2,1
10978,1,1
19600,1,1
6025,1,1
62785,0,0
63805,2,1
81408,0,0
58735,1,1
15768,0,1
81632,0,0
32970,1,1
50196,2,2
54516,1,1
71672,1,1
71662,0,2
81539,1,1
61514,1,1
57383,1,1
40627,1,1
24413,1,1
55631,1,1
17542,1,1
70355,2,0
55244,1,1
74975,0,0
40257,1,1
26309,2,1
8288,1,1
25845,0,1
54383,1,1
78075,1,1
45945,1,0
7493,0,0
42007,1,1
55113,0,0
17918,1,1
43879,1,1
28110,1,1
36801,1,1
83148,0,0
48334,2,2
29519,0,0
74402,1,1
73521,1,1
30787,0,0
44851,1,1
40239,1,1
