Epoch 1/100, Train Loss: 0.6226, Train Accuracy: 0.7718, Train F1: 0.7372, Validation Loss: 0.5991, Validation Accuracy: 0.7718, Validation F1: 0.7219
Epoch 2/100, Train Loss: 0.5283, Train Accuracy: 0.8137, Train F1: 0.7939, Validation Loss: 0.5654, Validation Accuracy: 0.7869, Validation F1: 0.7478
Epoch 3/100, Train Loss: 0.4968, Train Accuracy: 0.8250, Train F1: 0.8089, Validation Loss: 0.5338, Validation Accuracy: 0.8063, Validation F1: 0.7783
Epoch 4/100, Train Loss: 0.4798, Train Accuracy: 0.8299, Train F1: 0.8151, Validation Loss: 0.5076, Validation Accuracy: 0.8183, Validation F1: 0.7969
Epoch 5/100, Train Loss: 0.4678, Train Accuracy: 0.8356, Train F1: 0.8220, Validation Loss: 0.4991, Validation Accuracy: 0.8242, Validation F1: 0.8050
Epoch 6/100, Train Loss: 0.4557, Train Accuracy: 0.8382, Train F1: 0.8252, Validation Loss: 0.4821, Validation Accuracy: 0.8280, Validation F1: 0.8122
Epoch 7/100, Train Loss: 0.4498, Train Accuracy: 0.8404, Train F1: 0.8282, Validation Loss: 0.4793, Validation Accuracy: 0.8311, Validation F1: 0.8153
Epoch 8/100, Train Loss: 0.4421, Train Accuracy: 0.8439, Train F1: 0.8322, Validation Loss: 0.4766, Validation Accuracy: 0.8323, Validation F1: 0.8168
Epoch 9/100, Train Loss: 0.4375, Train Accuracy: 0.8445, Train F1: 0.8329, Validation Loss: 0.4721, Validation Accuracy: 0.8338, Validation F1: 0.8177
Epoch 10/100, Train Loss: 0.4315, Train Accuracy: 0.8473, Train F1: 0.8362, Validation Loss: 0.4744, Validation Accuracy: 0.8313, Validation F1: 0.8157
Epoch 11/100, Train Loss: 0.4266, Train Accuracy: 0.8489, Train F1: 0.8384, Validation Loss: 0.4691, Validation Accuracy: 0.8338, Validation F1: 0.8184
Epoch 12/100, Train Loss: 0.4222, Train Accuracy: 0.8499, Train F1: 0.8395, Validation Loss: 0.4621, Validation Accuracy: 0.8367, Validation F1: 0.8228
Epoch 13/100, Train Loss: 0.4212, Train Accuracy: 0.8506, Train F1: 0.8406, Validation Loss: 0.4711, Validation Accuracy: 0.8349, Validation F1: 0.8199
Epoch 14/100, Train Loss: 0.4162, Train Accuracy: 0.8539, Train F1: 0.8440, Validation Loss: 0.4631, Validation Accuracy: 0.8363, Validation F1: 0.8225
Epoch 15/100, Train Loss: 0.4131, Train Accuracy: 0.8538, Train F1: 0.8438, Validation Loss: 0.4587, Validation Accuracy: 0.8370, Validation F1: 0.8234
Epoch 16/100, Train Loss: 0.4139, Train Accuracy: 0.8546, Train F1: 0.8450, Validation Loss: 0.4475, Validation Accuracy: 0.8394, Validation F1: 0.8287
Epoch 17/100, Train Loss: 0.4104, Train Accuracy: 0.8544, Train F1: 0.8449, Validation Loss: 0.4519, Validation Accuracy: 0.8380, Validation F1: 0.8282
Epoch 18/100, Train Loss: 0.4067, Train Accuracy: 0.8559, Train F1: 0.8466, Validation Loss: 0.4455, Validation Accuracy: 0.8425, Validation F1: 0.8307
Epoch 19/100, Train Loss: 0.4038, Train Accuracy: 0.8578, Train F1: 0.8486, Validation Loss: 0.4510, Validation Accuracy: 0.8405, Validation F1: 0.8272
Epoch 20/100, Train Loss: 0.4006, Train Accuracy: 0.8581, Train F1: 0.8490, Validation Loss: 0.4415, Validation Accuracy: 0.8415, Validation F1: 0.8326
Epoch 21/100, Train Loss: 0.4023, Train Accuracy: 0.8583, Train F1: 0.8492, Validation Loss: 0.4389, Validation Accuracy: 0.8420, Validation F1: 0.8302
Epoch 22/100, Train Loss: 0.3990, Train Accuracy: 0.8603, Train F1: 0.8516, Validation Loss: 0.4534, Validation Accuracy: 0.8432, Validation F1: 0.8290
Epoch 23/100, Train Loss: 0.3988, Train Accuracy: 0.8597, Train F1: 0.8509, Validation Loss: 0.4416, Validation Accuracy: 0.8426, Validation F1: 0.8308
Epoch 24/100, Train Loss: 0.3932, Train Accuracy: 0.8616, Train F1: 0.8531, Validation Loss: 0.4360, Validation Accuracy: 0.8439, Validation F1: 0.8331
Epoch 25/100, Train Loss: 0.3949, Train Accuracy: 0.8605, Train F1: 0.8518, Validation Loss: 0.4363, Validation Accuracy: 0.8416, Validation F1: 0.8324
Epoch 26/100, Train Loss: 0.3913, Train Accuracy: 0.8616, Train F1: 0.8531, Validation Loss: 0.4387, Validation Accuracy: 0.8396, Validation F1: 0.8301
Epoch 27/100, Train Loss: 0.3930, Train Accuracy: 0.8614, Train F1: 0.8530, Validation Loss: 0.4388, Validation Accuracy: 0.8445, Validation F1: 0.8336
Epoch 28/100, Train Loss: 0.3895, Train Accuracy: 0.8626, Train F1: 0.8544, Validation Loss: 0.4359, Validation Accuracy: 0.8437, Validation F1: 0.8328
Epoch 29/100, Train Loss: 0.3858, Train Accuracy: 0.8652, Train F1: 0.8570, Validation Loss: 0.4382, Validation Accuracy: 0.8425, Validation F1: 0.8340
Epoch 30/100, Train Loss: 0.3868, Train Accuracy: 0.8632, Train F1: 0.8551, Validation Loss: 0.4318, Validation Accuracy: 0.8455, Validation F1: 0.8348
Epoch 31/100, Train Loss: 0.3854, Train Accuracy: 0.8624, Train F1: 0.8542, Validation Loss: 0.4317, Validation Accuracy: 0.8446, Validation F1: 0.8364
Epoch 32/100, Train Loss: 0.3854, Train Accuracy: 0.8639, Train F1: 0.8557, Validation Loss: 0.4359, Validation Accuracy: 0.8423, Validation F1: 0.8318
Epoch 33/100, Train Loss: 0.3792, Train Accuracy: 0.8668, Train F1: 0.8589, Validation Loss: 0.4345, Validation Accuracy: 0.8425, Validation F1: 0.8347
Epoch 34/100, Train Loss: 0.3809, Train Accuracy: 0.8656, Train F1: 0.8577, Validation Loss: 0.4312, Validation Accuracy: 0.8445, Validation F1: 0.8364
Epoch 35/100, Train Loss: 0.3791, Train Accuracy: 0.8667, Train F1: 0.8588, Validation Loss: 0.4276, Validation Accuracy: 0.8478, Validation F1: 0.8385
Epoch 36/100, Train Loss: 0.3812, Train Accuracy: 0.8659, Train F1: 0.8579, Validation Loss: 0.4262, Validation Accuracy: 0.8443, Validation F1: 0.8346
