ID,Ground Truth,Predicted Value
24633,1,0
15892,2,0
75689,1,1
82079,2,2
17016,1,0
55946,1,1
42175,1,1
57901,2,1
74581,1,0
17544,1,2
30448,1,2
51019,1,0
29040,1,0
55536,1,1
22827,2,0
44839,1,0
13782,1,0
59853,1,1
9180,2,0
61503,1,0
29075,1,0
82928,1,0
21827,1,0
38020,1,2
80731,1,0
81893,1,0
34376,0,0
37623,2,0
32110,1,0
48395,1,1
23296,1,0
48384,1,0
18229,1,2
69780,1,1
78330,1,0
39870,1,0
21100,1,0
28087,1,0
69087,2,0
9757,0,0
30494,2,2
6665,1,1
52341,1,2
58935,1,2
80944,0,0
65631,1,0
7877,1,1
49917,2,1
14718,1,0
83865,1,0
76208,2,0
40420,1,0
5204,1,0
36831,1,0
47177,2,0
4321,1,0
24161,1,1
61130,1,2
28594,0,0
50213,2,1
65834,0,0
81732,1,0
46123,1,0
66694,0,2
59136,2,1
80200,2,1
83082,1,1
67479,0,2
78397,0,1
12782,2,2
9465,1,0
39740,1,2
36284,1,0
30705,0,0
27269,1,0
43072,1,1
72467,1,0
48660,1,1
37772,0,2
20853,1,1
75207,0,1
59225,2,1
51846,1,0
57548,0,2
83672,1,1
4887,1,0
16430,1,0
5928,1,2
73639,1,1
61426,1,0
6976,2,2
79566,1,0
49276,0,1
4328,1,0
60906,1,1
72909,2,0
23142,1,1
14199,1,2
7574,1,1
13042,1,0
79585,0,0
50786,1,1
28752,1,0
52891,2,1
10978,1,1
19600,1,0
6025,1,1
62785,0,1
63805,2,0
81408,0,0
58735,1,0
15768,0,0
81632,0,0
32970,1,0
50196,2,0
54516,1,0
71672,1,0
71662,0,0
81539,1,0
61514,1,0
57383,1,2
40627,1,1
24413,1,1
55631,1,0
17542,1,0
70355,2,1
55244,1,0
74975,0,0
40257,1,1
26309,2,1
8288,1,0
25845,0,1
54383,1,1
78075,1,0
45945,1,0
7493,0,0
42007,1,1
55113,0,2
17918,1,2
43879,1,1
28110,1,1
36801,1,0
83148,0,0
48334,2,0
29519,0,0
74402,1,1
73521,1,1
30787,0,1
44851,1,1
40239,1,2
59870,0,2
45718,1,1
24128,0,0
39113,1,0
50907,2,2
71331,1,1
33634,2,1
7801,1,0
12685,1,1
16959,1,0
39960,1,2
38120,1,0
28938,1,0
73985,1,0
27352,1,1
72113,1,0
52600,1,0
831,2,0
55275,1,0
28275,1,0
66986,1,0
45027,2,1
24627,1,1
77191,1,0
60381,1,0
59548,1,0
37487,0,0
22265,0,1
19423,1,2
39908,1,2
1814,1,1
61137,2,0
55226,2,0
68709,1,0
10574,1,0
61722,1,0
28395,1,1
22055,0,2
12554,1,1
46824,1,0
8852,1,1
29839,1,1
5054,1,2
19949,1,2
72471,2,1
43792,1,0
17940,1,0
46687,1,0
10860,1,1
72628,2,0
66938,1,2
34004,1,2
17008,0,1
12945,1,1
37140,1,0
54229,1,1
31493,1,1
4499,1,0
17908,1,0
32122,1,0
62753,1,1
17251,2,0
63898,1,0
31682,1,1
40753,0,2
22463,1,0
56922,1,0
39271,1,1
7672,1,1
57838,0,0
