Epoch 1/1000, Train Loss: 0.1957, Train Accuracy: 0.6737, Train F1: 0.5916, Validation Loss: 0.1674, Validation Accuracy: 0.7400, Validation F1: 0.6618
Epoch 2/1000, Train Loss: 0.1691, Train Accuracy: 0.7450, Train F1: 0.6733, Validation Loss: 0.1536, Validation Accuracy: 0.7693, Validation F1: 0.7067
Epoch 3/1000, Train Loss: 0.1587, Train Accuracy: 0.7631, Train F1: 0.7053, Validation Loss: 0.1434, Validation Accuracy: 0.7886, Validation F1: 0.7398
Epoch 4/1000, Train Loss: 0.1508, Train Accuracy: 0.7774, Train F1: 0.7308, Validation Loss: 0.1355, Validation Accuracy: 0.8056, Validation F1: 0.7708
Epoch 5/1000, Train Loss: 0.1447, Train Accuracy: 0.7897, Train F1: 0.7528, Validation Loss: 0.1289, Validation Accuracy: 0.8217, Validation F1: 0.7968
Epoch 6/1000, Train Loss: 0.1399, Train Accuracy: 0.8006, Train F1: 0.7716, Validation Loss: 0.1234, Validation Accuracy: 0.8320, Validation F1: 0.8119
Epoch 7/1000, Train Loss: 0.1363, Train Accuracy: 0.8085, Train F1: 0.7845, Validation Loss: 0.1192, Validation Accuracy: 0.8365, Validation F1: 0.8186
Epoch 8/1000, Train Loss: 0.1308, Train Accuracy: 0.8151, Train F1: 0.7938, Validation Loss: 0.1153, Validation Accuracy: 0.8424, Validation F1: 0.8270
Epoch 9/1000, Train Loss: 0.1289, Train Accuracy: 0.8195, Train F1: 0.8005, Validation Loss: 0.1125, Validation Accuracy: 0.8471, Validation F1: 0.8338
Epoch 10/1000, Train Loss: 0.1251, Train Accuracy: 0.8246, Train F1: 0.8068, Validation Loss: 0.1103, Validation Accuracy: 0.8502, Validation F1: 0.8374
Epoch 11/1000, Train Loss: 0.1248, Train Accuracy: 0.8229, Train F1: 0.8061, Validation Loss: 0.1082, Validation Accuracy: 0.8542, Validation F1: 0.8433
Epoch 12/1000, Train Loss: 0.1225, Train Accuracy: 0.8283, Train F1: 0.8132, Validation Loss: 0.1063, Validation Accuracy: 0.8568, Validation F1: 0.8462
Epoch 13/1000, Train Loss: 0.1206, Train Accuracy: 0.8303, Train F1: 0.8158, Validation Loss: 0.1054, Validation Accuracy: 0.8568, Validation F1: 0.8466
Epoch 14/1000, Train Loss: 0.1191, Train Accuracy: 0.8312, Train F1: 0.8176, Validation Loss: 0.1039, Validation Accuracy: 0.8577, Validation F1: 0.8476
Epoch 15/1000, Train Loss: 0.1180, Train Accuracy: 0.8331, Train F1: 0.8191, Validation Loss: 0.1030, Validation Accuracy: 0.8592, Validation F1: 0.8507
Epoch 16/1000, Train Loss: 0.1170, Train Accuracy: 0.8376, Train F1: 0.8244, Validation Loss: 0.1016, Validation Accuracy: 0.8608, Validation F1: 0.8524
Epoch 17/1000, Train Loss: 0.1166, Train Accuracy: 0.8385, Train F1: 0.8258, Validation Loss: 0.1009, Validation Accuracy: 0.8629, Validation F1: 0.8539
Epoch 18/1000, Train Loss: 0.1136, Train Accuracy: 0.8397, Train F1: 0.8273, Validation Loss: 0.0996, Validation Accuracy: 0.8648, Validation F1: 0.8559
Epoch 19/1000, Train Loss: 0.1135, Train Accuracy: 0.8422, Train F1: 0.8300, Validation Loss: 0.0993, Validation Accuracy: 0.8641, Validation F1: 0.8558
Epoch 20/1000, Train Loss: 0.1155, Train Accuracy: 0.8382, Train F1: 0.8257, Validation Loss: 0.0988, Validation Accuracy: 0.8660, Validation F1: 0.8575
Epoch 21/1000, Train Loss: 0.1131, Train Accuracy: 0.8421, Train F1: 0.8301, Validation Loss: 0.0979, Validation Accuracy: 0.8667, Validation F1: 0.8588
Epoch 22/1000, Train Loss: 0.1126, Train Accuracy: 0.8414, Train F1: 0.8293, Validation Loss: 0.0972, Validation Accuracy: 0.8677, Validation F1: 0.8601
Epoch 23/1000, Train Loss: 0.1113, Train Accuracy: 0.8449, Train F1: 0.8334, Validation Loss: 0.0964, Validation Accuracy: 0.8693, Validation F1: 0.8613
Epoch 24/1000, Train Loss: 0.1100, Train Accuracy: 0.8439, Train F1: 0.8326, Validation Loss: 0.0960, Validation Accuracy: 0.8710, Validation F1: 0.8634
Epoch 25/1000, Train Loss: 0.1101, Train Accuracy: 0.8445, Train F1: 0.8335, Validation Loss: 0.0953, Validation Accuracy: 0.8703, Validation F1: 0.8627
Epoch 26/1000, Train Loss: 0.1093, Train Accuracy: 0.8467, Train F1: 0.8353, Validation Loss: 0.0950, Validation Accuracy: 0.8688, Validation F1: 0.8610
Epoch 27/1000, Train Loss: 0.1089, Train Accuracy: 0.8459, Train F1: 0.8347, Validation Loss: 0.0948, Validation Accuracy: 0.8717, Validation F1: 0.8649
Epoch 28/1000, Train Loss: 0.1095, Train Accuracy: 0.8463, Train F1: 0.8354, Validation Loss: 0.0942, Validation Accuracy: 0.8714, Validation F1: 0.8640
Epoch 29/1000, Train Loss: 0.1087, Train Accuracy: 0.8477, Train F1: 0.8367, Validation Loss: 0.0936, Validation Accuracy: 0.8698, Validation F1: 0.8622
Epoch 30/1000, Train Loss: 0.1079, Train Accuracy: 0.8507, Train F1: 0.8400, Validation Loss: 0.0931, Validation Accuracy: 0.8733, Validation F1: 0.8660
Epoch 31/1000, Train Loss: 0.1065, Train Accuracy: 0.8503, Train F1: 0.8401, Validation Loss: 0.0928, Validation Accuracy: 0.8740, Validation F1: 0.8669
Epoch 32/1000, Train Loss: 0.1073, Train Accuracy: 0.8496, Train F1: 0.8391, Validation Loss: 0.0927, Validation Accuracy: 0.8750, Validation F1: 0.8682
